State,Narcotic,NonNarcotic
AK,1396,14811
AL,7856,109391
AR,1261,38285
CA,14883,1354936
CO,809,47285
CT,4826,79267
DC,824,27416
DE,547,22500
FL,7309,274446
GA,3835,141888
HI,2447,19782
IA,2095,64464
ID,521,7040
IL,3954,359206
IN,1411,34137
KS,1038,51232
KY,3190,190729
LA,1517,155638
MA,5386,363060
MD,1236,35586
ME,3279,61511
MI,3506,210732
MN,1777,85040
MO,4044,133973
MS,616,82676
MT,1879,19112
NC,18422,194993
ND,192,8181
NE,1672,52185
NH,3234,42200
NJ,7163,123774
NM,1503,18516
NV,1274,14779
NY,7172,756615
OH,5347,365868
OK,1136,39163
OR,2038,29695
PA,8929,214749
RI,872,27641
SC,2782,51750
SD,149,6377
TX,19019,330126
UT,3240,45912
VA,9954,135954
VT,1054,15673
WA,10077,142015
WI,6804,93977
WV,1778,103941
WY,242,6486
XX,204760,6871274
