Year,State,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
1994,AK,305,9719,3.0426975259377493,1.1055065211181447
1994,AL,1042,51196,1.9947164899115588,0.05752548509195421
1994,AR,889,20173,4.220871712088121,2.283680707268516
1994,CA,5607,927256,0.6010528877230633,-1.3361381170965414
1994,CO,254,20820,1.2052766442061307,-0.7319143606134739
1994,CT,2957,43099,6.420444676046552,4.483253671226947
1994,DC,379,10432,3.505688650448617,1.5684976456290123
1994,DE,121,9126,1.3085324970260626,-0.628658507793542
1994,FL,3232,121531,2.590511610012584,0.6533206051929792
1994,GA,1923,80354,2.337226685464954,0.40003568064534933
1994,HI,374,11392,3.1786503484616695,1.241459343642065
1994,IA,547,33421,1.6103391427225624,-0.3268518620970422
1994,ID,374,8457,4.23508096478315,2.2978899599635456
1994,IL,6755,276228,2.3870691879017465,0.4498781830821419
1994,IN,1088,97774,1.1005239626954746,-0.83666704212413
1994,KS,570,24468,2.27653965971723,0.3393486548976252
1994,KY,1332,137039,0.96262945270324,-0.9745615521163646
1994,LA,1987,65028,2.965007834067,1.0278168292473953
1994,MA,4901,128970,3.6609870696416698,1.7237960648220652
1994,MD,1762,50795,3.3525505641493996,1.415359559329795
1994,ME,394,29936,1.2990438509726343,-0.6381471538469703
1994,MI,1842,273151,0.6698352321695461,-1.2673557726500584
1994,MN,797,61277,1.2839514128298484,-0.6532395919897562
1994,MO,1460,54681,2.600594930621115,0.6634039258015103
1994,MS,862,57796,1.4695352722561288,-0.4676557325634758
1994,MT,537,9603,5.29585798816568,3.358666983346075
1994,NC,3543,57178,5.834884142224272,3.8976931374046675
1994,ND,72,5052,1.405152224824356,-0.5320387799952486
1994,NE,345,25956,1.311737196304323,-0.6254538085152817
1994,NH,500,17372,2.7976723366159355,0.8604813317963309
1994,NJ,2118,64849,3.1627518031269135,1.225560798307309
1994,NM,392,18602,2.0638096240918187,0.12661861927221407
1994,NV,347,6432,5.118749078035108,3.1815580732155038
1994,NY,2508,140783,1.75028438631875,-0.18690661850085455
1994,OH,3809,231412,1.6193282062400889,-0.3178627985795157
1994,OK,49,18298,0.2670736360167875,-1.670117368802817
1994,OR,1923,44520,4.1405593953878945,2.20336839056829
1994,PA,4409,164511,2.61011129528771,0.6729202904681055
1994,RI,249,9475,2.560674619498149,0.6234836146785443
1994,SC,1467,20055,6.816281014775578,4.8790900099559735
1994,TX,1852,95327,1.9057615328414577,-0.03142947197814694
1994,UT,463,17803,2.5347640424833022,0.5975730376636976
1994,VA,2162,66673,3.140844047359628,1.2036530425400236
1994,VT,428,13350,3.10640150965307,1.1692105048334653
1994,WA,3459,96753,3.451682433241528,1.5144914284219233
1994,WI,1452,64309,2.2079956205045543,0.27080461568494973
1994,WV,1033,48326,2.092830081646711,0.15563907682710632
1994,WY,77,2375,3.1402936378466557,1.2031026330270511
1994,XX,78384,3918707,1.9610261562721487,0.023835151452544112
