State,Narcotic,NonNarcotic
AK,972,10826
AL,5497,76018
AR,1678,33081
CA,14375,1118103
CO,378,18243
CT,4372,57009
DC,559,23977
DE,387,21602
FL,7208,187017
GA,4303,121669
HI,1900,12254
IA,1486,35056
ID,1131,9707
IL,4007,279069
IN,1325,26259
KS,876,39737
KY,3903,174464
LA,2175,96726
MA,4806,258009
MD,2837,65399
ME,2369,49602
MI,4827,225603
MN,1563,67256
MO,3586,93963
MS,1302,51631
MT,1461,11812
NC,10540,108111
ND,253,6718
NE,1279,38626
NH,1731,22095
NJ,5966,90502
NM,2042,30988
NV,394,4951
NY,6479,491671
OH,4869,213885
OK,1244,24270
OR,1526,19146
PA,10499,198227
RI,793,18410
SC,1549,32554
SD,172,5027
TX,13640,158566
UT,1677,25172
VA,7205,107142
VT,1079,20529
WA,8077,104613
WI,7376,72569
WV,1978,71623
WY,177,4478
XX,176559,5096643
