Year,State,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
2014,AK,27662,96307,22.313642926860748,4.366460817463455
2014,AL,117667,623438,15.877237368524028,-2.0699447408732645
2014,AR,78039,465861,14.348041919470491,-3.5991401899268016
2014,AZ,504450,1613930,23.813008053323767,5.865825943926474
2014,CA,1308880,7971511,14.103716104202938,-3.8434660051943546
2014,CO,317278,855721,27.0484459066035,9.101263797206208
2014,CT,286016,821290,25.82989706549048,7.882714956093189
2014,DC,36474,232688,13.550947013322832,-4.396235096074461
2014,DE,123532,222670,35.68205845142431,17.734876342027018
2014,FL,659297,2410658,21.475787104371236,3.528604994973943
2014,GA,316682,1572185,16.765711932073565,-1.1814701773237282
2014,HI,63934,271460,19.062356512042552,1.115174402645259
2014,IA,145256,551873,20.83631580381823,2.889133694420938
2014,ID,79287,196082,28.79300139086099,10.845819281463697
2014,IL,277730,1967845,12.367879051022566,-5.579303058374727
2014,IN,287687,1317005,17.927864038706492,-0.019318070690800937
2014,KS,159762,497009,24.32537368428265,6.378191574885356
2014,KY,201788,2307049,8.04308928798483,-9.904092821412462
2014,LA,163655,845748,16.213048703045267,-1.7341334063520257
2014,MA,336490,1197358,21.937636584589868,3.990454475192575
2014,MD,548697,1210412,31.19175673593848,13.244574626541187
2014,ME,82630,207834,28.44758730858213,10.500405199184836
2014,MI,497347,3053430,14.006708954124688,-3.9404731552726044
2014,MN,335794,1167631,22.335267805178177,4.388085695780884
2014,MO,302752,972607,23.738570865144638,5.791388755747345
2014,MS,68883,595871,10.362179091814415,-7.585003017582878
2014,MT,40657,96904,29.555615327018558,11.608433217621265
2014,NC,547424,1470050,27.134129113931582,9.18694700453429
2014,ND,25261,59174,29.917688162491856,11.970506053094564
2014,NE,55076,243439,18.449994137648023,0.5028120282507302
2014,NH,51248,111834,31.42468206178487,13.477499952387578
2014,NJ,315302,1565360,16.765479389704264,-1.1817027196930283
2014,NM,130018,596328,17.900284437444412,-0.046897671952880415
2014,NV,148907,476548,23.807787930386677,5.8606058209893845
2014,NY,711679,6287572,10.167930825741212,-7.77925128365608
2014,OH,687048,3362234,16.967156152621627,-0.9800259567756662
2014,OK,170229,611022,21.789284109716338,3.842102000319045
2014,OR,360367,1026857,25.977563825308675,8.030381715911382
2014,PA,662214,2254690,22.702632654348584,4.755450544951291
2014,RI,47030,271978,14.74257698866486,-3.204605120732433
2014,SC,136330,548825,19.897687384606403,1.9505052752091103
2014,SD,23386,51047,31.41885991428533,13.471677804888039
2014,TN,248099,1622711,13.26158188164485,-4.685600227752444
2014,TX,439066,3593812,10.88716296401726,-7.060019145380032
2014,UT,129048,288055,30.939120552956943,12.99193844355965
2014,VA,262130,884530,22.860307327368183,4.91312521797089
2014,VT,56756,122179,31.71878056277419,13.771598453376896
2014,WA,393480,1409353,21.82564885377625,3.878466744378958
2014,WI,379163,1177395,24.359066607219262,6.411884497821969
2014,WV,230229,935693,19.74651820619218,1.7993360967948888
2014,WY,16599,43061,27.822661749916193,9.8754796405189
2014,XX,13794201,62862036,17.994884095341128,0.04770198594383501
