Year,State,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
2008,AK,12813,38987,24.735521235521237,5.48573762950004,19.249783606021197
2008,AL,52244,247271,17.442865966646078,-1.8069176393751185,19.249783606021197
2008,AR,30532,139015,18.00798598618672,-1.2417976198344753,19.249783606021197
2008,CA,279480,1398833,16.652436106971702,-2.5973474990494942,19.249783606021197
2008,CO,41422,104375,28.410735474666833,9.160951868645636,19.249783606021197
2008,CT,62071,173825,26.31286668701462,7.063083080993422,19.249783606021197
2008,DC,3319,28812,10.329588248109303,-8.920195357911894,19.249783606021197
2008,DE,29350,88473,24.910246726021235,5.660463120000038,19.249783606021197
2008,FL,133046,393986,25.24438743757495,5.9946038315537535,19.249783606021197
2008,GA,73541,209118,26.017568872740654,6.767785266719457,19.249783606021197
2008,HI,12582,29389,29.977841843177433,10.728058237156237,19.249783606021197
2008,IA,31297,123429,20.22736967284102,0.9775860668198249,19.249783606021197
2008,ID,20689,52869,28.12610457054297,8.876320964521774,19.249783606021197
2008,IL,163840,801141,16.978572635108875,-2.271210970912321,19.249783606021197
2008,IN,60019,164406,26.7434554973822,7.493671891361004,19.249783606021197
2008,KS,24196,58939,29.104468635352138,9.854685029330941,19.249783606021197
2008,KY,131207,446036,22.729942156076383,3.4801585500551866,19.249783606021197
2008,LA,74526,350617,17.529631206441127,-1.7201523995800692,19.249783606021197
2008,MA,101023,315702,24.242126102345672,4.992342496324476,19.249783606021197
2008,MD,18089,34542,34.36947806425871,15.119694458237511,19.249783606021197
2008,ME,62554,115733,35.086125180187,15.8363415741658,19.249783606021197
2008,MI,28076,162166,14.758045016347598,-4.491738589673599,19.249783606021197
2008,MN,43128,113902,27.464815640323504,8.215032034302308,19.249783606021197
2008,MO,114871,349473,24.73834054063367,5.488556934612472,19.249783606021197
2008,MS,27946,155452,15.237897905102562,-4.011885700918635,19.249783606021197
2008,MT,16607,32063,34.121635504417505,14.871851898396308,19.249783606021197
2008,NC,227891,551201,29.250845856458547,10.00106225043735,19.249783606021197
2008,ND,7950,16971,31.900806548693872,12.651022942672675,19.249783606021197
2008,NE,16801,106737,13.599864009454581,-5.649919596566615,19.249783606021197
2008,NH,23306,49556,31.986495017979195,12.736711411957998,19.249783606021197
2008,NJ,49531,188812,20.781394880487365,1.5316112744661687,19.249783606021197
2008,NM,641,2821,18.515309069901793,-0.7344745361194036,19.249783606021197
2008,NV,20555,37997,35.10554720590244,15.855763599881243,19.249783606021197
2008,NY,201611,2022266,9.065744193586246,-10.18403941243495,19.249783606021197
2008,OH,82942,234191,26.153695768021617,6.90391216200042,19.249783606021197
2008,OK,41585,185708,18.29576801749284,-0.9540155885283568,19.249783606021197
2008,OR,25228,51604,32.83527696793003,13.585493361908831,19.249783606021197
2008,PA,72555,265779,21.444785330472254,2.195001724451057,19.249783606021197
2008,RI,7546,27517,21.521261728888003,2.2714781228668066,19.249783606021197
2008,SC,56059,145553,27.80538856814079,8.555604962119592,19.249783606021197
2008,SD,5366,19570,21.519088867500802,2.269305261479605,19.249783606021197
2008,TN,124754,477328,20.720433429333546,1.4706498233123497,19.249783606021197
2008,TX,148364,1601215,8.479982898743069,-10.769800707278128,19.249783606021197
2008,UT,28588,89877,24.13202211623686,4.8822385102156645,19.249783606021197
2008,VA,39231,127865,23.478120361947624,4.228336755926428,19.249783606021197
2008,VT,5142,17224,22.99025306268443,3.7404694566632344,19.249783606021197
2008,WA,139552,297694,31.916129592952252,12.666345986931056,19.249783606021197
2008,WI,132293,317670,29.400861848640886,10.15107824261969,19.249783606021197
2008,WV,58483,227935,20.418758597574175,1.1689749915529788,19.249783606021197
2008,WY,1739,6224,21.838503076729875,2.5887194707086785,19.249783606021197
2008,XX,3199590,13505672,19.15318658276656,-0.09659702325463826,19.249783606021197
