State,Narcotic,NonNarcotic
AK,28650,72733
AL,127898,496505
AR,50680,241753
AZ,376307,1130666
CA,848744,4342459
CO,140962,271917
CT,192507,513812
DC,19384,140079
DE,93343,176816
FL,595488,1622252
GA,227656,860318
HI,52084,187360
IA,70782,282698
ID,58818,124696
IL,269543,1520587
IN,222339,854358
KS,62936,170492
KY,188288,951817
LA,139995,604162
MA,277746,882108
MD,330120,771622
ME,115142,252211
MI,333968,1581752
MN,215192,733601
MO,348820,831868
MS,62852,295129
MT,35475,65853
NC,360828,1024114
ND,17701,34152
NE,48083,208267
NH,56684,99889
NJ,144491,859040
NM,73175,293107
NV,67648,161450
NY,596582,4491685
OH,544117,1782138
OK,138359,376256
OR,215261,517786
PA,521168,2012378
RI,40418,178094
SC,118176,357927
SD,17309,34830
TN,217065,897629
TX,265803,2516645
UT,83941,187258
VA,214691,688632
VT,51304,103444
WA,309955,927821
WI,329378,791032
WV,117042,391471
WY,11195,31136
XX,10158150,39571037
