Year,State,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
2012,AK,24887,72622,25.522772256919872,4.5676388920400015
2012,AL,131071,524657,19.98862333162531,-0.9665100332545613
2012,AR,54633,261669,17.27241686742417,-3.6827164974557007
2012,AZ,376078,983048,27.670576532271475,6.715443167391605
2012,CA,868566,4226984,17.04557898558546,-3.909554379294409
2012,CO,176512,319252,35.604037404894264,14.648904040014394
2012,CT,236829,574125,29.203752617287787,8.248619252407916
2012,DC,36298,240942,13.092627326504111,-7.862506038375759
2012,DE,112076,182283,38.07459598653345,17.119462621653582
2012,FL,594430,1615746,26.895143192216363,5.9400098273364925
2012,GA,281565,1066501,20.886588638835192,-0.06854472604467787
2012,HI,56155,188592,22.94410145987489,1.9889680949950197
2012,IA,77645,311611,19.947027149228273,-1.0081062156515976
2012,ID,66920,144657,31.629146835431072,10.674013470551202
2012,IL,379561,1901799,16.637488164954238,-4.317645199925632
2012,IN,295095,1005251,22.693575402239098,1.7384420373592278
2012,KS,71672,176070,28.930096632787333,7.974963267907462
2012,KY,177145,1050375,14.431129431699688,-6.5240039331801825
2012,LA,157602,656172,19.366802085099792,-1.5883312797800784
2012,MA,305659,876295,25.86048188000548,4.90534851512561
2012,MD,372897,832053,30.947093240383417,9.991959875503547
2012,ME,113388,248553,31.327757838984805,10.372624474104935
2012,MI,345589,1675649,17.097887532294564,-3.8572458325853063
2012,MN,256883,864229,22.913232576227887,1.9580992113480171
2012,MO,338695,889397,27.578959882484373,6.623826517604503
2012,MS,59821,336361,15.099373520250795,-5.855759844629075
2012,MT,36246,69400,34.308918463548075,13.353785098668205
2012,NC,425015,1087036,28.108509567468293,7.153376202588422
2012,ND,18776,42164,30.810633409911386,9.855500045031516
2012,NE,55862,222939,20.036513498875543,-0.9186198660043274
2012,NH,57791,99822,36.666391731646506,15.711258366766636
2012,NJ,224051,1136363,16.469324779074604,-4.485808585805266
2012,NM,97957,343439,22.192543656942973,1.2374102920631032
2012,NV,88397,184042,32.446529314819095,11.491395949939225
2012,NY,711801,4886990,12.713476891707511,-8.241656473172359
2012,OH,676513,2369510,22.209714109184336,1.2545807443044659
2012,OK,150038,412416,26.675603693813184,5.720470328933313
2012,OR,187768,470500,28.5245523100014,7.56941894512153
2012,PA,527528,1900771,21.724178118098305,0.7690447532184344
2012,RI,44399,183487,19.48298710758888,-1.4721462572909907
2012,SC,134855,408126,24.83604398680617,3.8809106219263008
2012,SD,20620,40362,33.81325637073235,12.858123005852477
2012,TN,254018,983841,20.520753979249655,-0.4343793856302156
2012,TX,334984,2979414,10.10693344613411,-10.84819991874576
2012,UT,77544,187179,29.29250575129475,8.33737238641488
2012,VA,246069,768906,24.243848370649523,3.288715005769653
2012,VT,54388,107072,33.685123250340645,12.729989885460775
2012,WA,216960,567915,27.642618251313905,6.687484886434035
2012,WI,343641,819918,29.533611961232737,8.578478596352866
2012,WV,136001,399098,25.416044507651854,4.460911142771984
2012,WY,14834,32807,31.137045821876114,10.181912456996244
2012,XX,11254853,42410402,20.972327439793215,0.017194074913344792
