State,Narcotic,NonNarcotic
AK,8115,51822
AL,58012,318702
AR,10418,122723
CA,181554,1980015
CO,29213,163267
CT,30489,153424
DC,1673,42120
DE,10550,73226
FL,119650,754081
GA,83379,580885
HI,12011,45624
IA,21838,159510
ID,9761,68194
IL,88393,852865
IN,59905,370640
KS,17064,129319
KY,13449,529727
LA,33229,373530
MA,92249,503908
MD,34474,173972
ME,45425,163085
MI,49807,420543
MN,21582,156721
MO,72749,494026
MS,20255,303218
MT,11633,52032
NC,155112,710882
ND,2691,24229
NE,10617,127159
NH,19433,84463
NJ,49442,332455
NM,7086,61795
NV,12579,63706
NY,110571,2110165
OH,132148,766686
OK,21628,211837
OR,37300,99401
PA,49922,374518
RI,8828,60832
SC,54927,270921
SD,3491,23761
TN,149953,6123691
TX,79232,1639949
UT,20446,125650
VA,50662,249995
VT,3048,13140
WA,120995,417477
WI,65791,289686
WV,21805,222576
WY,2892,22011
XX,2340631,23604893
