Year,State,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
1991,AK,120,3777,3.079291762894534,1.5615790949382895,1.5177126679562447
1991,AL,333,18704,1.7492251930451226,0.23151252508887787,1.5177126679562447
1991,AR,497,12096,3.9466370205669814,2.4289243526107365,1.5177126679562447
1991,CA,4107,331662,1.2231623526889022,-0.29455031526734254,1.5177126679562447
1991,CO,28,15447,0.18093699515347336,-1.3367756728027713,1.5177126679562447
1991,CT,1306,16619,7.285913528591354,5.768200860635109,1.5177126679562447
1991,DC,13,7838,0.16558400203795695,-1.3521286659182878,1.5177126679562447
1991,DE,15,3909,0.382262996941896,-1.1354496710143487,1.5177126679562447
1991,FL,2131,75349,2.7503871966959217,1.232674528739677,1.5177126679562447
1991,GA,1060,43520,2.3777478689995513,0.8600352010433066,1.5177126679562447
1991,HI,435,5789,6.989074550128535,5.471361882172291,1.5177126679562447
1991,IA,249,17373,1.4130064691862445,-0.1047061987700002,1.5177126679562447
1991,ID,186,3961,4.485170002411381,2.967457334455137,1.5177126679562447
1991,IL,2171,78286,2.6983357569882047,1.18062308903196,1.5177126679562447
1991,IN,483,66076,0.7256719602157484,-0.7920407077404963,1.5177126679562447
1991,KS,205,8512,2.3517265114144776,0.8340138434582329,1.5177126679562447
1991,KY,229,77920,0.2930299811897785,-1.2246826867664662,1.5177126679562447
1991,LA,814,44151,1.8102968975870122,0.29258422963076747,1.5177126679562447
1991,MA,914,71097,1.2692505311688493,-0.24846213678739537,1.5177126679562447
1991,MD,284,28321,0.9928334207306415,-0.5248792472256032,1.5177126679562447
1991,ME,365,22235,1.6150442477876108,0.09733157983136609,1.5177126679562447
1991,MI,437,91633,0.47463886173563596,-1.0430738062206086,1.5177126679562447
1991,MN,435,34527,1.2442079972541618,-0.27350467070208295,1.5177126679562447
1991,MO,290,28175,1.0187950114175301,-0.49891765653871456,1.5177126679562447
1991,MS,160,21975,0.7228371357578496,-0.7948755321983951,1.5177126679562447
1991,MT,212,4797,4.23238171291675,2.7146690449605053,1.5177126679562447
1991,NC,875,33405,2.5525087514585767,1.034796083502332,1.5177126679562447
1991,NH,139,8625,1.586033774532177,0.06832110657593238,1.5177126679562447
1991,NJ,501,51446,0.9644445300017325,-0.5532681379545122,1.5177126679562447
1991,NM,81,7453,1.0751260950358377,-0.44258657292040704,1.5177126679562447
1991,NV,107,2855,3.6124240378122887,2.094711369856044,1.5177126679562447
1991,NY,1905,114985,1.6297373599110276,0.11202469195478293,1.5177126679562447
1991,OH,1192,131219,0.9002273225034173,-0.6174853454528274,1.5177126679562447
1991,OK,62,7469,0.823263842783163,-0.6944488251730817,1.5177126679562447
1991,OR,556,18623,2.8990041190885862,1.3812914511323415,1.5177126679562447
1991,PA,1020,125757,0.8045623417496865,-0.7131503262065582,1.5177126679562447
1991,RI,82,8004,1.0140984417511747,-0.50361422620507,1.5177126679562447
1991,SC,332,13576,2.387115329306874,0.8694026613506292,1.5177126679562447
1991,TN,618,64092,0.9550301344459898,-0.5626825335102549,1.5177126679562447
1991,TX,102,45588,0.2232435981615233,-1.2944690697947214,1.5177126679562447
1991,UT,293,11953,2.3926179977135393,0.8749053297572946,1.5177126679562447
1991,VA,653,47793,1.3478924988647154,-0.1698201690915293,1.5177126679562447
1991,VT,284,5147,5.229239550727306,3.7115268827710617,1.5177126679562447
1991,WA,1617,40911,3.8022009029345374,2.2844882349782925,1.5177126679562447
1991,WI,383,31085,1.2171094445150628,-0.30060322344118195,1.5177126679562447
1991,WV,407,29646,1.3542741157288791,-0.16343855222736559,1.5177126679562447
1991,WY,127,2191,5.47886108714409,3.961148419187846,1.5177126679562447
1991,XX,31270,1963261,1.567787113862858,0.05007444590661336,1.5177126679562447
