State,Narcotic,NonNarcotic
AK,16771,52474
AL,78309,367342
AR,36447,185555
CA,380998,2026581
CO,58113,171476
CT,84824,305293
DC,3052,34163
DE,48671,138597
FL,196626,639674
GA,94184,301334
HI,1518,5941
IA,42899,212688
ID,28940,81806
IL,204772,1356899
IN,74940,262043
KS,30142,87073
KY,129592,615347
LA,94341,479996
MA,111839,462054
MD,25462,67310
ME,70501,170417
MI,34242,263909
MN,61265,173035
MO,141009,390818
MS,34143,217903
MT,23045,45862
NC,306811,785993
ND,14576,22742
NE,25507,160793
NH,42235,87757
NJ,53043,241147
NM,391,4203
NV,24438,54872
NY,264435,2835067
OH,112192,338339
OK,62070,268867
OR,31601,76767
PA,91852,353026
RI,7141,28012
SC,40869,148649
SD,7203,27619
TN,158801,689673
TX,177523,2233086
UT,51646,135314
VA,60887,206185
VT,32943,79737
WA,141431,342553
WI,180207,596276
WV,75200,295698
WY,6035,24401
XX,4119504,19522511
