State,Narcotic,NonNarcotic
AK,9448,35171
AL,28026,160943
AR,24739,115884
CA,209529,1321707
CO,30389,97675
CT,23869,61845
DC,2914,34205
DE,16237,77384
FL,81422,345293
GA,50989,189078
HI,10296,22272
IA,21377,112524
ID,13877,47532
IL,75192,693485
IN,41500,159830
KS,15086,50282
KY,88048,413527
LA,39024,300973
MA,71571,301237
MD,12623,29670
ME,54671,121088
MI,24835,161997
MN,28549,99784
MO,48198,222761
MS,17859,133771
MT,12751,29727
NC,142039,464114
ND,5255,15324
NE,11715,97789
NH,14334,44069
NJ,37560,161509
NM,563,3849
NV,15601,35318
NY,146076,1842046
OH,83471,307945
OK,26503,165524
OR,24062,51445
PA,57411,245974
RI,6511,29094
SC,42438,157146
SD,17861030,74004338
TN,66066,412761
TX,97782,1518387
UT,21189,87023
VA,28688,123893
VT,3211,6646
WA,119738,264036
WI,55052,139832
WV,35912,216784
WY,2686,11504
XX,19990723,86103023
