Year,State,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
1996,AK,442,10229,4.1420672851654015,2.0363435244973624,2.105723760668039
1996,AL,2490,67652,3.549941547147216,1.444217786479177,2.105723760668039
1996,AR,1297,28262,4.387834500490544,2.282110739822505,2.105723760668039
1996,CA,11039,1198690,0.9125184235477533,-1.1932053371202858,2.105723760668039
1996,CO,346,24040,1.418846879357008,-0.6868768813110311,2.105723760668039
1996,CT,3308,51572,6.0276967930029155,3.9219730323348765,2.105723760668039
1996,DC,313,13749,2.225856919357133,0.12013315868909391,2.105723760668039
1996,DE,58,14648,0.39439684482524145,-1.7113269158427975,2.105723760668039
1996,FL,4242,155016,2.6636024563915157,0.5578786957234767,2.105723760668039
1996,GA,2763,116006,2.3263646237654605,0.22064086309742148,2.105723760668039
1996,HI,670,8684,7.162711139619414,5.056987378951375,2.105723760668039
1996,IA,1106,43557,2.4763226832053378,0.37059892253729876,2.105723760668039
1996,ID,763,10778,6.6112121999826705,4.5054884393146315,2.105723760668039
1996,IL,2905,291427,0.9869806884742399,-1.1187430721937992,2.105723760668039
1996,IN,401,28230,1.4005797911354825,-0.7051439695325565,2.105723760668039
1996,KS,207,15914,1.2840394516469202,-0.8216843090211188,2.105723760668039
1996,KY,2202,166681,1.30386125305685,-0.8018625076111889,2.105723760668039
1996,LA,2284,84647,2.627371133427661,0.521647372759622,2.105723760668039
1996,MA,3115,203669,1.5064028164654906,-0.5993209442025484,2.105723760668039
1996,MD,2573,66903,3.7034371581553343,1.5977133974872952,2.105723760668039
1996,ME,1016,44830,2.2161148191772453,0.11039105850920627,2.105723760668039
1996,MI,3605,276866,1.2853378780693905,-0.8203858825986485,2.105723760668039
1996,MN,1209,68666,1.7302325581395348,-0.3754912025285042,2.105723760668039
1996,MO,1661,67911,2.3874547231644914,0.28173096249645235,2.105723760668039
1996,MS,941,58244,1.5899298808819802,-0.5157938797860588,2.105723760668039
1996,MT,993,11574,7.901647171162568,5.795923410494529,2.105723760668039
1996,NC,4026,93741,4.117953910828807,2.012230150160768,2.105723760668039
1996,ND,232,6521,3.435510143639864,1.3297863829718248,2.105723760668039
1996,NE,269,28818,0.9248117715818063,-1.1809119890862327,2.105723760668039
1996,NH,454,13002,3.373959571938169,1.26823581127013,2.105723760668039
1996,NJ,3014,85757,3.395252954230548,1.289529193562509,2.105723760668039
1996,NM,877,39848,2.1534683855125842,0.047744624844545225,2.105723760668039
1996,NV,336,8347,3.869630312104112,1.7639065514360728,2.105723760668039
1996,NY,5338,378959,1.389029838900642,-0.7166939217673971,2.105723760668039
1996,OH,3922,190657,2.015633752871584,-0.09009000779645504,2.105723760668039
1996,OK,363,20522,1.738089537945894,-0.36763422272214497,2.105723760668039
1996,OR,1279,22205,5.446261284278657,3.3405375236106183,2.105723760668039
1996,PA,6206,227904,2.650890606979625,0.5451668463115862,2.105723760668039
1996,RI,385,20516,1.8420171283670639,-0.26370663230097513,2.105723760668039
1996,SC,878,30042,2.8395860284605434,0.7338622677925044,2.105723760668039
1996,SD,17,3964,0.42702838482793265,-1.6786953758401064,2.105723760668039
1996,TX,3968,134296,2.8698721286813633,0.7641483680133243,2.105723760668039
1996,UT,924,25803,3.4571781344707597,1.3514543738027207,2.105723760668039
1996,VA,3257,88720,3.5411026669710903,1.4353789063030513,2.105723760668039
1996,VT,417,16206,2.5085724598447934,0.40284869917675437,2.105723760668039
1996,WA,7266,97636,6.926464700387028,4.820740939718989,2.105723760668039
1996,WI,4255,75116,5.360900076854266,3.255176316186227,2.105723760668039
1996,WV,1705,66368,2.504664110587164,0.39894034991912486,2.105723760668039
1996,WY,76,3911,1.9061951341861048,-0.19952862648193426,2.105723760668039
1996,XX,107392,4899959,2.1446868813470434,0.038963120679004426,2.105723760668039
