Year,State,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
1995,AK,408,9195,4.248672289909403,2.681406470545003
1995,AL,1414,60185,2.2954918099319794,0.728225990567579
1995,AR,932,24887,3.609744761609667,2.0424789422452667
1995,CA,4664,1044861,0.4443915104452014,-1.122874308919199
1995,CO,163,16945,0.9527706336216974,-0.614495185742703
1995,CT,3338,59428,5.31816588598923,3.7509000666248298
1995,DC,79,12737,0.6164169787765293,-0.9508488405878711
1995,DE,41,12444,0.3283940728874649,-1.2388717464769354
1995,FL,2243,108683,2.022068766565097,0.4548029472006967
1995,GA,1920,97717,1.9269949918203078,0.3597291724559073
1995,HI,195,3892,4.771225838023,3.2039600186585995
1995,IA,324,30638,1.0464440281635554,-0.520821791200845
1995,ID,490,9519,4.895593965431113,3.3283281460667125
1995,IL,1742,242308,0.7137881581643105,-0.8534776612000899
1995,IN,540,44433,1.2007204322593557,-0.3665453871050448
1995,KS,129,7979,1.5910212136161814,0.02375539425178097
1995,KY,1282,135853,0.9348452255077114,-0.632420593856689
1995,LA,1576,70460,2.1877949913931922,0.6205291720287918
1995,MA,2045,140991,1.4297100030761487,-0.13755581628825175
1995,MD,1864,56498,3.193859017854083,1.6265931984896824
1995,ME,478,41586,1.1363636363636365,-0.430902183000764
1995,MI,1891,294659,0.6376664980610353,-0.9295993213033652
1995,MN,740,71818,1.0198737561674798,-0.5473920631969207
1995,MO,1578,85279,1.8167793039133289,0.2495134845489284
1995,MS,625,57435,1.076472614536686,-0.4907932048277144
1995,MT,656,12294,5.065637065637066,3.498371246272666
1995,NC,4116,85365,4.599859187984041,3.032593368619641
1995,ND,33,5993,0.5476269498838368,-1.0196388694805636
1995,NE,331,33075,0.990839968867868,-0.5764258504965325
1995,NH,830,26607,3.0251120749353064,1.457846255570906
1995,NJ,1982,57671,3.3225487402142386,1.7552829208498382
1995,NM,296,25597,1.1431661066697563,-0.4240997126946442
1995,NV,325,8982,3.4919952723756307,1.9247294530112302
1995,NY,4387,343070,1.2626022788431375,-0.304663540521263
1995,OH,2682,195757,1.3515488386859438,-0.21571698067845668
1995,OK,127,21482,0.5877180804294507,-0.9795477389349497
1995,OR,1528,32685,4.466138602285681,2.8988727829212806
1995,PA,4498,201953,2.1787252180904915,0.611459398726091
1995,RI,204,16429,1.2264774845187278,-0.3407883348456726
1995,SC,1148,28730,3.8422919874154893,2.275026168051089
1995,TX,2145,122583,1.7197421589378488,0.1524763395734483
1995,UT,854,25729,3.2125794680811044,1.645313648716704
1995,VA,2453,81313,2.928395769166488,1.3611299498020875
1995,VT,200,13280,1.483679525222552,-0.08358629414184837
1995,WA,3274,67254,4.642127949183303,3.0748621298189027
1995,WI,2944,73784,3.8369304556354913,2.2696646362710906
1995,WV,1097,57136,1.883811584496763,0.31654576513236243
1995,WY,39,2722,1.4125316914161534,-0.15473412794824704
1995,XX,70961,4375352,1.5959515220813287,0.028685702716928274
