State,Narcotic,NonNarcotic
AK,82,5722
AL,587,34517
AR,518,13775
CA,4316,374069
CO,202,22059
CT,1567,23991
DC,33,8530
DE,111,7110
FL,2391,93723
GA,928,58053
HI,335,7970
IA,378,23805
ID,250,6452
IL,4326,200972
IN,450,87641
KS,404,17171
KY,406,103266
LA,1211,45331
MA,1795,85079
MD,538,57628
ME,276,24217
MI,728,162831
MN,578,45160
MO,462,47652
MS,209,40602
MT,237,6046
NC,1642,41666
NE,101,12052
NH,186,11775
NJ,1159,57804
NM,173,15275
NV,147,4473
NY,1833,110933
OH,2637,174092
OK,166,8739
OR,792,35081
PA,2346,137746
RI,48,11015
SC,788,16086
TN,602,94760
TX,25,62162
UT,389,20921
VA,997,57464
VT,306,7551
WA,1726,45471
WI,457,52769
WV,493,42293
WY,29,1630
XX,44033,2677221
