State,Narcotic,NonNarcotic
AK,13053,40753
AL,23905,178076
AR,22547,126230
AZ,71430,290329
CA,271641,2019939
CO,82038,257729
CT,53453,220885
DC,6644,57366
DE,15434,42455
FL,116369,687010
GA,76609,415170
HI,13271,73516
IA,23647,88461
ID,16442,51171
IL,102623,772865
IN,30186,245080
KS,21747,59670
KY,52626,747856
LA,76437,473341
MA,61856,277601
MD,133804,339419
ME,15004,42010
MI,89147,799282
MN,65394,280169
MO,63069,283507
MS,14249,156600
MT,18142,61299
NC,124816,438880
ND,5183,16688
NE,10727,62869
NH,6679,20792
NJ,29686,150396
NM,42906,197118
NV,49257,204885
NY,154025,1641229
OH,209983,1269163
OK,35777,135167
OR,82916,278569
PA,202105,833734
RI,15019,93673
SC,17402,100837
SD,6361,13315
TN,48520,417525
TX,99489,986069
UT,18410,62874
VA,49491,231991
VT,11962,30894
WA,99550,441850
WI,86304,325920
WV,46522,247177
WY,2488,10488
XX,3082036,17472013
