Year,State,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
2006,AK,9149,35460,20.50931426393777,6.914866363598268,13.594447900339503
2006,AL,32403,208976,13.424117259579335,-0.17033064076016835,13.594447900339503
2006,AR,20147,111000,15.362150868872334,1.7677029685328307,13.594447900339503
2006,CA,160839,1321964,10.846956743410958,-2.747491156928545,13.594447900339503
2006,CO,25300,109130,18.82020382355129,5.225755923211786,13.594447900339503
2006,CT,18718,61118,23.44556340498021,9.851115504640706,13.594447900339503
2006,DC,2127,33226,6.016462535004101,-7.577985365335402,13.594447900339503
2006,DE,13084,74657,14.912070753695536,1.317622853356033,13.594447900339503
2006,FL,73012,398273,15.492111991682314,1.8976640913428113,13.594447900339503
2006,GA,63136,330807,16.026684063430498,2.4322361630909946,13.594447900339503
2006,HI,9924,22471,30.63435715388177,17.039909253542266,13.594447900339503
2006,IA,16085,115202,12.251784258913679,-1.3426636414258244,13.594447900339503
2006,ID,10731,52443,16.986418463291862,3.391970562952359,13.594447900339503
2006,IL,66988,697247,8.765366673863406,-4.829081226476097,13.594447900339503
2006,IN,37639,160851,18.96266814449091,5.368220244151406,13.594447900339503
2006,KS,12547,67371,15.699842338396857,2.1053944380573544,13.594447900339503
2006,KY,56285,395574,12.456319338554726,-1.138128561784777,13.594447900339503
2006,LA,31545,299060,9.541597979461896,-4.052849920877607,13.594447900339503
2006,MA,67015,295482,18.48704954799626,4.8926016476567575,13.594447900339503
2006,MD,16846,50417,25.04497271902829,11.450524818688788,13.594447900339503
2006,ME,43912,113926,27.820930320962,14.226482420622496,13.594447900339503
2006,MI,23699,166181,12.481040657257216,-1.1134072430822872,13.594447900339503
2006,MN,19584,97625,16.708614526188263,3.1141666258487604,13.594447900339503
2006,MO,58842,300397,16.379624706671603,2.7851768063320996,13.594447900339503
2006,MS,14183,138459,9.291675947642196,-4.302771952697308,13.594447900339503
2006,MT,10421,29634,26.016727000374484,12.42227910003498,13.594447900339503
2006,NC,125151,458853,21.429818973842647,7.835371073503143,13.594447900339503
2006,ND,3970,14841,21.104672797831057,7.510224897491554,13.594447900339503
2006,NE,8982,97484,8.436496158397986,-5.157951741941517,13.594447900339503
2006,NH,12779,42375,23.169670377488487,9.575222477148984,13.594447900339503
2006,NJ,43035,175437,19.69817642535428,6.103728525014777,13.594447900339503
2006,NM,678,6540,9.39318370739817,-4.201264192941332,13.594447900339503
2006,NV,14061,37954,27.032586753821015,13.438138853481512,13.594447900339503
2006,NY,115852,1869710,5.834720849814813,-7.75972705052469,13.594447900339503
2006,OH,158994,696501,18.585029719636,4.990581819296498,13.594447900339503
2006,OK,21025,155466,11.912788754100776,-1.6816591462387276,13.594447900339503
2006,OR,21755,52589,29.262617023566122,15.668169123226619,13.594447900339503
2006,PA,67981,260134,20.718650473157275,7.124202572817772,13.594447900339503
2006,RI,4720,23524,16.71151394986546,3.117066049525956,13.594447900339503
2006,SC,40684,161184,20.153763845681336,6.559315945341833,13.594447900339503
2006,SD,2686,18432,12.719007481769108,-0.8754404185703955,13.594447900339503
2006,TN,7941324,43183214,15.533292447552288,1.9388445472127849,13.594447900339503
2006,TX,75847,1444164,4.989898099421649,-8.604549800917855,13.594447900339503
2006,UT,19253,100195,16.11831089679191,2.523862996452408,13.594447900339503
2006,VA,26279,118149,18.195225302572908,4.600777402233405,13.594447900339503
2006,VT,5982,11080,35.060368069393974,21.46592016905447,13.594447900339503
2006,WA,18789944,126234001,12.956442468862642,-0.6380054314768611,13.594447900339503
2006,WI,49881,154419,24.415565345080765,10.821117444741262,13.594447900339503
2006,WV,30570,210660,12.672553165029225,-0.9218947353102784,13.594447900339503
2006,WY,3231,15497,17.25224263135412,3.6577947310146186,13.594447900339503
2006,XX,29639922,188297277,13.600212417156007,0.005764516816503473,13.594447900339503
