Year,State,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
2002,AK,7479,45025,14.244628980649093,7.200112972363851
2002,AL,28690,260556,9.918892568955146,2.874376560669903
2002,AR,7821,119458,6.1447685792628794,-0.899747429022363
2002,CA,76225,1710642,4.265846310889395,-2.7786696973958476
2002,CO,10988,96832,10.191059172695233,3.146543164409991
2002,CT,17026,136635,11.080235062898199,4.035719054612956
2002,DC,1471,33977,4.149740464906341,-2.894775543378901
2002,DE,4328,55767,7.201930277061319,0.15741426877607623
2002,FL,60461,585528,9.359447297090199,2.3149312888049565
2002,GA,35987,438104,7.590736799475206,0.5462207911899633
2002,HI,6151,41851,12.814049414607725,5.769533406322482
2002,IA,10543,119987,8.077070405270819,1.0325543969855762
2002,ID,5591,50567,9.95583888315111,2.911322874865867
2002,IL,33980,697780,4.6435989942057505,-2.400917014079492
2002,IN,29165,310630,8.58311629070469,1.5386002824194467
2002,KS,5954,96639,5.803514859688283,-1.2410011485969594
2002,KY,6392,409366,1.5374328335233478,-5.5070831747618945
2002,LA,15287,330204,4.424717286412671,-2.619798721872572
2002,MA,46235,630126,6.83584653757387,-0.20866947071137254
2002,MD,9047,108373,7.704820303185148,0.6603042948999054
2002,ME,26754,149226,15.202863961813842,8.1583479535286
2002,MI,24604,353568,6.5060342912748705,-0.538481717010372
2002,MN,12494,137690,8.31912853566292,1.274612527377677
2002,MO,30376,343904,8.115849096932777,1.0713330886475347
2002,MS,10782,257520,4.018605899322406,-3.0259101089628366
2002,MT,7631,44912,14.523342785908685,7.478826777623443
2002,NC,90449,528473,14.613957816978553,7.569441808693311
2002,ND,2017,22581,8.199853646637937,1.1553376383526945
2002,NE,6082,108657,5.300725995520268,-1.7437900127649746
2002,NH,12510,81931,13.246365455681325,6.201849447396082
2002,NJ,26432,229214,10.339297309560877,3.294781301275634
2002,NM,4330,45565,8.678224270969034,1.6337082626837915
2002,NV,4579,32365,12.394434820268515,5.349918811983272
2002,NY,48343,1696926,2.7699454926432545,-4.274570515641988
2002,OH,59845,768787,7.222144450129853,0.17762844184461013
2002,OK,6054,99645,5.727584934578378,-1.316931073706865
2002,OR,25906,181655,12.48115011972384,5.436634111438597
2002,PA,21609,287497,6.990805743013724,-0.05371026527151823
2002,RI,4357,47545,8.39466687218219,1.350150863896948
2002,SC,27623,201280,12.06755700012669,5.023040991841448
2002,SD,1462,17836,7.575914602549487,0.5313985942642443
2002,TN,35173,463360,7.055300250936247,0.010784242651004305
2002,TX,51193,933800,5.197295818345917,-1.8472201899393257
2002,UT,10191,86877,10.49882556558289,3.4543095572976483
2002,VA,27084,191280,12.40314337528164,5.358627366996398
2002,VT,2722,21900,11.055153927382017,4.010637919096775
2002,WA,48437,348466,12.2037374371068,5.159221428821558
2002,WI,31168,197150,13.65113569670372,6.606619688418478
2002,WV,7453,173752,4.113021163875169,-2.9314948444100732
2002,WY,1791,17306,9.378436403623606,2.333920395338364
2002,XX,1096697,14482911,7.039310616801142,-0.0052053914841003746
