State,Narcotic,NonNarcotic
AK,123,8020
AL,815,45172
AR,479,16872
CA,3225,636926
CO,247,25962
CT,2356,34510
DC,23,8813
DE,129,8283
FL,2142,104328
GA,1285,68470
HI,286,10132
IA,262,20984
ID,274,7998
IL,4905,287894
IN,568,94158
KS,301,21570
KY,569,139541
LA,1317,56673
MA,3227,101799
MD,1012,45939
ME,258,33267
MI,941,231005
MN,771,52221
MO,508,59452
MS,479,56334
MT,434,7865
NC,2369,48260
ND,13,4196
NE,303,22465
NH,314,15125
NJ,1355,54185
NM,248,20792
NV,320,4971
NY,2313,258924
OH,3672,208717
OK,308,14527
OR,1630,50277
PA,2436,144910
RI,91,11104
SC,852,16624
TN,632,92160
TX,227,76695
UT,574,20746
VA,1184,57603
VT,362,9589
WA,3007,87543
WI,617,61103
WV,698,51168
WY,32,2490
XX,53456,3567017
