Year,State,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
2010,AK,21856,63006,25.754754778346022,7.0956736578074135
2010,AL,102014,434967,18.99769265579229,0.3386115352536798
2010,AR,40042,212760,15.839273423469752,-2.819807697068857
2010,AZ,210031,766093,21.51683597575718,2.8577548552185696
2010,CA,683669,3579359,16.03716888559024,-2.6219122349483683
2010,CO,95038,219282,30.23606515652838,11.57698403598977
2010,CT,136538,428372,24.169867766546886,5.5107866460082775
2010,DC,8003,62884,11.289799257973959,-7.36928186256465
2010,DE,61316,157772,27.986927627254804,9.327846506716195
2010,FL,394926,1213734,24.549998135093805,5.890917014555196
2010,GA,163635,604604,21.30001210560776,2.6409309850691507
2010,HI,27450,102130,21.183824664300047,2.5247435437614385
2010,IA,57558,250297,18.696464244530706,0.037383123992096756
2010,ID,42417,109165,27.982873956010607,9.323792835471998
2010,IL,282459,1757308,13.84761102616132,-4.811470094377288
2010,IN,195109,807071,19.46845875990341,0.8093776393648007
2010,KS,44520,131500,25.292580388592206,6.633499268053598
2010,KY,167396,813651,17.062994943157666,-1.5960861773809434
2010,LA,122016,569021,17.656941668825258,-1.0021394517133508
2010,MA,211151,828955,20.300911637852295,1.6418305173136858
2010,MD,196281,529893,27.02947227523982,8.37039115470121
2010,ME,88393,212960,29.332045806744915,10.672964686206306
2010,MI,216559,1091552,16.55509356621877,-2.10398755431984
2010,MN,132712,474041,21.872491771775334,3.2134106512367246
2010,MO,284376,734779,27.903115816534285,9.244034695995676
2010,MS,43436,249828,14.811228108461998,-3.8478530120766106
2010,MT,28792,55346,34.21997195084266,15.560890830304054
2010,NC,307700,925897,24.94331617213725,6.2842350515986425
2010,ND,15976,29085,35.45416213577151,16.795081015232903
2010,NE,33339,176897,15.85789303449457,-2.8011880860440392
2010,NH,51021,100070,33.76839123442164,15.109310113883033
2010,NJ,90952,626374,12.679311777350883,-5.979769343187726
2010,NM,2169,15215,12.476990335941094,-6.182090784597515
2010,NV,47626,124573,27.657535758047374,8.998454637508765
2010,NY,429552,3815567,10.118726942636943,-8.540354177901666
2010,OH,485645,1723127,21.987104146557453,3.328023026018844
2010,OK,98071,328228,23.005214649811517,4.346133529272908
2010,OR,110611,273632,28.786731313257498,10.127650192718889
2010,PA,244966,1081369,18.46939121715102,-0.1896899033875883
2010,RI,25442,119539,17.54850635600527,-1.1105747645333395
2010,SC,82734,304004,21.392777539316025,2.7336964187774164
2010,SD,12352,33299,27.057457667959078,8.398376547420469
2010,TN,184479,791739,18.897315968359525,0.23823484782091597
2010,TX,207771,2447173,7.825814781780709,-10.8332663387579
2010,UT,77242,153524,33.47200194136051,14.812920820821901
2010,VA,94273,342320,21.592879409427088,2.933798288888479
2010,VT,44844,101963,30.546227359730803,11.887146239192194
2010,WA,185174,467411,28.37546066795896,9.716379547420352
2010,WI,262622,725065,26.58959771668555,7.930516596146941
2010,WV,95038,357149,21.017410938394956,2.3583298178563474
2010,WY,7868,28785,21.466182849971354,2.8071017294327447
2010,XX,7339512,32070521,18.623460680685042,-0.035620439853566666
