Year,State,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
2013,AK,28564,78988,26.558315977387682,6.394541580805058
2013,AL,124079,555822,18.24956868720593,-1.914205709376695
2013,AR,55735,278772,16.661833683600044,-3.501940712982581
2013,AZ,462763,1255891,26.925896660991683,6.762122264409058
2013,CA,932114,5182279,15.244587647539177,-4.9191867490434475
2013,CO,206065,396659,34.18894883893789,14.025174442355265
2013,CT,257799,641656,28.66168957868932,8.497915182106695
2013,DC,33905,213534,13.702367048040124,-6.461407348542501
2013,DE,113958,182029,38.501015247291264,18.33724085070864
2013,FL,615995,1857386,24.904978246376114,4.741203849793489
2013,GA,304260,1172219,20.60713359282455,0.443359196241925
2013,HI,59545,215102,21.680557224364367,1.5167828277817428
2013,IA,82696,338293,19.64326858896551,-0.5205058076171163
2013,ID,74393,170922,30.325499867517276,10.161725470934652
2013,IL,222185,1316261,14.442170865925746,-5.721603530656878
2013,IN,281620,1096054,20.44170101199558,0.27792661541295516
2013,KS,29051,73930,28.21005816606947,8.046283769486845
2013,KY,142912,1110304,11.403620764497102,-8.760153632085522
2013,LA,183256,720375,20.279959408209766,0.11618501162714168
2013,MA,329552,945222,25.851798044202347,5.688023647619723
2013,MD,428852,876706,32.848176794903026,12.684402398320401
2013,ME,94579,246494,27.72984082586426,7.566066429281637
2013,MI,390137,1997201,16.34192560919317,-3.821848787389456
2013,MN,281085,928999,23.228552728570907,3.0647783319882826
2013,MO,334638,918217,26.710034281700594,6.546259885117969
2013,MS,60847,387230,13.579585651573279,-6.584188745009346
2013,MT,37097,74818,33.14747799669392,12.983703600111298
2013,NC,482519,1207583,28.54969700053606,8.385922603953436
2013,ND,17643,40541,30.322769146157018,10.158994749574394
2013,NE,56732,229770,19.801606969584853,-0.3621674269977717
2013,NH,54986,105466,34.26943883529031,14.105664438707684
2013,NJ,217960,1108671,16.429587428606748,-3.7341869679758766
2013,NM,100959,355391,22.123151090172016,1.959376693589391
2013,NV,91079,223435,28.958647309817685,8.79487291323506
2013,NY,698400,5648921,11.003067278305288,-9.160707118277337
2013,OH,653726,2560149,20.340741316946055,0.1769669203634301
2013,OK,157966,466543,25.29443130523339,5.130656908650764
2013,OR,228529,624592,26.78740764791864,6.623633251336017
2013,PA,600273,2007449,23.019056479179913,2.855282082597288
2013,RI,41860,197120,17.51611013473931,-2.647664261843314
2013,SC,130163,427008,23.361409692895,3.1976352963123738
2013,SD,24868,40018,38.32567888296396,18.16190448638134
2013,TN,239567,925422,20.56388515256367,0.4001107559810464
2013,TX,371254,3176714,10.463848602918628,-9.699925793663997
2013,UT,140774,223058,38.692033685877,18.528259289294375
2013,VA,271052,821993,24.797881148534596,4.634106751951972
2013,VT,54405,110751,32.94158250381457,12.777808107231948
2013,WA,252960,742533,25.410525237244258,5.246750840661633
2013,WI,331289,880416,27.3407306233778,7.176956226795177
2013,WV,141836,456771,23.694343701293167,3.530569304710543
2013,WY,16074,34599,31.72103487064117,11.557260474058545
2013,XX,11728102,46299228,20.211341793599672,0.0475673970170476
