State,Narcotic,NonNarcotic
AK,37966,141639
AL,106395,718929
AR,82380,439878
AZ,585096,2145747
CA,1606306,11550116
CO,391733,1133222
CT,266236,918719
DC,31807,247291
DE,112060,236043
FL,533428,2854211
GA,313935,1590319
HI,56249,284093
IA,115118,485233
ID,69549,200714
IL,396652,2793534
IN,301350,1999651
KS,94111,284040
KY,253409,3100727
LA,248083,1411075
MA,285180,1143894
MD,556135,1264894
ME,69977,180326
MI,530173,4036526
MN,290156,1132854
MO,280106,1123036
MS,61688,635791
MT,65640,204217
NC,520783,1470681
ND,26091,79150
NE,66097,255559
NH,37473,99450
NJ,496578,2277371
NM,173099,714585
NV,222223,854258
NY,697914,6938485
OH,883477,4940235
OK,159193,563094
OR,366789,1163790
PA,893621,3374572
RI,62652,361904
SC,92423,475821
SD,31741,57496
TN,219405,1759645
TX,458521,3550616
UT,95522,279678
VA,237271,947543
VT,55560,138539
WA,433274,1763906
WI,384676,1281118
WV,204363,1012600
WY,16339,44217
XX,14864276,77319989
