Year,State,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
2003,AK,7195,46090,13.502861968659097,5.1837521687173975
2003,AL,48426,300208,13.89021151121233,5.5711017112706305
2003,AR,11105,138373,7.429186903758413,-0.889922896183287
2003,CA,135654,1925777,6.580574367999705,-1.7385354319419948
2003,CO,20905,131704,13.698405729675184,5.379295929733484
2003,CT,26306,144475,15.403352831989507,7.084243032047807
2003,DC,1831,40555,4.319822582928325,-3.999287217013374
2003,DE,7807,51550,13.152618899203128,4.833509099261429
2003,FL,103703,731691,12.41366349291472,4.094553692973021
2003,GA,66171,524598,11.200824687822143,2.8817148878804435
2003,HI,9564,46102,17.18104408436029,8.861934284418592
2003,IA,17282,140240,10.9711659323777,2.652056132436
2003,ID,9650,63357,13.217910611311245,4.898800811369545
2003,IL,72275,823803,8.065704101651864,-0.2534056982898356
2003,IN,45856,353132,11.493077486039681,3.1739676860979813
2003,KS,12323,115637,9.630353235386057,1.3112434354443572
2003,KY,11271,459043,2.3964840510807672,-5.922625748860932
2003,LA,24481,337903,6.755541083491545,-1.5635687164501544
2003,MA,76312,544664,12.289041766509495,3.9699319665677955
2003,MD,19544,155046,11.194226473452087,2.8751166735103872
2003,ME,36316,155318,18.950708120688393,10.631598320746694
2003,MI,37583,357949,9.501886067372551,1.1827762674308513
2003,MN,19331,150127,11.407546412680428,3.088436612738729
2003,MO,55686,428474,11.501569729015202,3.1824599290735023
2003,MS,18539,275015,6.315362761195555,-2.0037470387461447
2003,MT,10132,49157,17.08917337111437,8.77006357117267
2003,NC,140006,623710,18.332207260290474,10.013097460348774
2003,ND,2328,22603,9.337772251413902,1.0186624514722027
2003,NE,9107,120393,7.032432432432432,-1.2866773675092675
2003,NH,16004,85776,15.724110827274515,7.4050010273328155
2003,NJ,39513,267990,12.8496307353099,4.5305209353682
2003,NM,5807,56818,9.272654690618761,0.9535448906770618
2003,NV,11542,61233,15.859841978701478,7.540732178759779
2003,NY,101825,1980790,4.88928582575272,-3.42982397418898
2003,OH,128490,908285,12.393238648694268,4.074128848752569
2003,OK,11178,116419,8.76039405315172,0.44128425321001963
2003,OR,33060,140258,19.07476430607323,10.755654506131531
2003,PA,39175,329780,10.617826022143621,2.2987162222019215
2003,RI,7493,56492,11.710557161834805,3.391447361893105
2003,SC,47740,242187,16.466213909018474,8.147104109076775
2003,SD,2788,21849,11.316312862767381,2.9972030628256814
2003,TN,91916,3647838,2.4578087221779827,-5.8613010777637164
2003,TX,71920,1201693,5.646927284818857,-2.6721825151228424
2003,UT,16942,109218,13.428979074191503,5.109869274249803
2003,VA,42914,222118,16.192007002927948,7.872897202986248
2003,VT,2836,12923,17.996065740211943,9.676955940270243
2003,WA,76012,1374988,5.238594073053067,-3.080515726888633
2003,WI,53105,249286,17.561699918317675,9.242590118375976
2003,WV,15295,212066,6.727187160506859,-1.5919226394348405
2003,WY,2784,21128,11.642689862830379,3.323580062888679
2003,XX,1886114,20873900,8.286963268124529,-0.032146531817170754
