State,Narcotic,NonNarcotic
AK,4802,30607
AL,15117,203199
AR,2978,86874
CA,36037,1591393
CO,4253,57471
CT,9596,119140
DC,1040,31716
DE,1832,37821
FL,25699,509180
GA,12822,345249
HI,4132,32310
IA,3770,77160
ID,2981,31997
IL,11169,551048
IN,17941,261084
KS,2348,84904
KY,3846,342897
LA,4527,261463
MA,18303,562219
MD,4289,83758
ME,14384,106833
MI,7456,286582
MN,6117,107850
MO,13338,273205
MS,1794,195571
MT,4590,37128
NC,53892,407140
ND,615,16424
NE,3192,87887
NH,6480,71587
NJ,16211,206432
NM,2198,31832
NV,3781,26909
NY,18189,1365976
OH,22028,611592
OK,2194,77630
OR,14092,137059
PA,14224,272128
RI,2505,39038
SC,12712,155441
SD,582,12850
TN,16144,328542
TX,34841,706455
UT,7028,69873
VA,17946,175526
VT,675,9385
WA,28859,267881
WI,17857,155672
WV,4726,142394
WY,578,12045
XX,545592,11791216
